OID_,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,AFFGEOID,GEOID,NAME,NAMELSAD,NAMELABEL,STUSPS,NAMELSADCO,STATE_NAME,LSAD,Shape_Length,Shape_Area,newdev,olddev,totalland,"Impervious surface growth, 2000-2019",pctold,pcttotal,totaldev,"New acres of impervious surface, 2000-2019","Households with no car, 2020","Households with at least 2 cars, 2020","Total population, 2020","Population that is white, 2020",sq mi,"Population per square mile, 2020"
51,27,163,35414,2395626,0600000US2716335414,2716335414,Landfall,Landfall city,Landfall,MN,Washington County,Minnesota,25,0.025219036,1.93E-05,0,169,159,0,90.37433155,90.37433155,169,0,11,53,796,80,0.06,14407
10,27,3,29258,2394389,0600000US2700329258,2700329258,Hilltop,Hilltop city,Hilltop,MN,Anoka County,Minnesota,25,0.024307643,3.57E-05,0,355,355,0,100,100,355,0,21,34,1007,36,0.12,8163
120,27,53,43000,2395345,0600000US2705343000,2705343000,Minneapolis,Minneapolis city,Minneapolis,MN,Hennepin County,Minnesota,25,0.625572908,0.016984089,674,150965,155496,0,91.24453766,91.65190902,151639,150,16,41,424536,63,54.03,7857
85,27,123,35738,2395642,0600000US2712335738,2712335738,Lauderdale,Lauderdale city,Lauderdale,MN,Ramsey County,Minnesota,25,0.045622575,0.000124266,1,1207,1211,0,99.58745875,99.669967,1208,0,11,49,2624,64,0.42,6236
58,27,3,12700,2393607,0600000US2700312700,2700312700,Columbia Heights,Columbia Heights city,Columbia Heights,MN,Anoka County,Minnesota,25,0.172183891,0.001034274,2,9819,9820,0,97.63348911,97.65337576,9821,0,11,51,20247,64,3.41,5933
317,27,123,58000,2396511,0600000US2712358000,2712358000,St. Paul,St. Paul city,St. Paul,MN,Ramsey County,Minnesota,25,0.655250775,0.016566264,903,137519,151016,1,85.19275683,85.7521636,138422,201,13,47,305877,55,52.48,5829
162,27,53,62014,2395935,0600000US2705362014,2705362014,Spring Park,Spring Park city,Spring Park,MN,Hennepin County,Minnesota,25,0.073723429,0.000174538,5,1025,1069,0,60.29411765,60.58823529,1030,1,14,31,2136,85,0.37,5750
107,27,53,54214,2396362,0600000US2705354214,2705354214,Richfield,Richfield city,Richfield,MN,Hennepin County,Minnesota,25,0.204160612,0.002040665,118,18521,19633,1,93.05632317,93.64919861,18639,26,11,52,36253,65,6.82,5314
242,27,53,54808,2396388,0600000US2705354808,2705354808,Robbinsdale,Robbinsdale city,Robbinsdale,MN,Hennepin County,Minnesota,25,0.145923622,0.000885812,54,7781,8006,1,90.32969584,90.95658231,7835,12,18,51,14393,67,2.78,5174
96,27,53,57220,2396500,0600000US2705357220,2705357220,St. Louis Park,St. Louis Park city,St. Louis Park,MN,Hennepin County,Minnesota,25,0.290772161,0.003202776,53,28926,30522,0,92.61951266,92.78921584,28979,12,7,49,48874,82,10.61,4608
90,27,53,30140,2394417,0600000US2705330140,2705330140,Hopkins,Hopkins city,Hopkins,MN,Hennepin County,Minnesota,25,0.226276988,0.001212964,40,11421,11792,0,96.51005577,96.8480649,11461,9,10,40,18400,67,4.10,4490
60,27,123,47221,2395261,0600000US2712347221,2712347221,North St. Paul,North St. Paul city,North St. Paul,MN,Ramsey County,Minnesota,25,0.13228015,0.000892173,5,8139,8277,0,93.63782789,93.69535205,8144,1,8,60,12421,67,2.88,4319
363,27,53,45628,2395201,0600000US2705345628,2705345628,New Hope,New Hope city,New Hope,MN,Hennepin County,Minnesota,25,0.305458825,0.001510092,92,14183,14596,1,96.43051401,97.05602393,14275,20,11,52,20913,66,5.07,4123
284,27,163,70366,2397314,0600000US2716370366,2716370366,Willernie,Willernie city,Willernie,MN,Washington County,Minnesota,25,0.031103403,3.73E-05,0,339,353,0,92.37057221,92.37057221,339,0,3,71,498,100,0.12,4060
105,27,37,69700,2397275,0600000US2703769700,2703769700,West St. Paul,West St. Paul city,West St. Paul,MN,Dakota County,Minnesota,25,0.159589076,0.001478589,38,13650,14253,0,94.58148559,94.84478936,13688,8,14,47,19805,77,4.95,3999
151,27,53,14158,2393683,0600000US2705314158,2705314158,Crystal,Crystal city,Crystal,MN,Hennepin County,Minnesota,25,0.352236451,0.001737438,7,16085,16622,0,95.21131763,95.25275246,16092,2,5,61,22937,74,5.78,3971
278,27,53,20078,2394717,0600000US2705320078,2705320078,Excelsior,Excelsior city,Excelsior,MN,Hennepin County,Minnesota,25,0.076526757,0.000257417,2,1822,1801,0,72.61857314,72.69828617,1824,0,6,62,2414,94,0.63,3857
361,27,53,7948,2393428,0600000US2705307948,2705307948,Brooklyn Center,Brooklyn Center city,Brooklyn Center,MN,Hennepin County,Minnesota,25,0.239337251,0.002480437,46,21553,23121,0,89.35367522,89.54438042,21599,10,9,56,30755,41,8.03,3828
159,27,53,49012,2396098,0600000US2705349012,2705349012,Osseo,Osseo city,Osseo,MN,Hennepin County,Minnesota,25,0.074154553,0.000217864,4,2131,2138,0,99.67259121,99.85968195,2135,1,9,47,2738,86,0.74,3685
210,27,37,61492,2395918,0600000US2703761492,2703761492,South St. Paul,South St. Paul city,South St. Paul,MN,Dakota County,Minnesota,25,0.245211275,0.001788395,193,15145,16459,1,86.7560291,87.8616028,15338,43,7,59,20132,78,5.72,3520
273,27,123,45430,2395187,0600000US2712345430,2712345430,New Brighton,New Brighton city,New Brighton,MN,Ramsey County,Minnesota,25,0.205806051,0.002096263,64,17429,18924,0,85.49494751,85.80888845,17493,14,5,65,22663,75,6.58,3446
153,27,53,18188,2394621,0600000US2705318188,2705318188,Edina,Edina city,Edina,MN,Hennepin County,Minnesota,25,0.310620211,0.004707584,145,42636,44710,0,92.8565206,93.17231466,42781,32,6,59,52215,86,15.54,3361
300,27,3,36836,2395696,0600000US2700336836,2700336836,Lexington,Lexington city,Lexington,MN,Anoka County,Minnesota,25,0.097237875,0.000203906,0,1959,1974,0,99.24012158,99.24012158,1959,0,10,66,2276,85,0.69,3318
128,27,53,44476,2395111,0600000US2705344476,2705344476,Mound,Mound city,Mound,MN,Hennepin County,Minnesota,25,0.198279498,0.001499269,217,7195,8360,1,49.20667487,50.69073998,7412,48,8,60,9498,93,2.91,3269
244,27,3,61996,2395934,0600000US2700361996,2700361996,Spring Lake Park,Spring Lake Park city,Spring Lake Park,MN,Anoka County,Minnesota,25,0.114661254,0.000618757,0,5694,5784,0,94.47486312,94.47486312,5694,0,5,63,6551,71,2.01,3259
287,27,123,44530,2395118,0600000US2712344530,2712344530,Mounds View,Mounds View city,Mounds View,MN,Ramsey County,Minnesota,25,0.164027299,0.00122964,105,11301,11826,1,94.54530243,95.42374299,11406,23,5,60,13193,70,4.11,3210
52,27,163,6058,2394171,0600000US2716306058,2716306058,Birchwood Village,Birchwood Village city,Birchwood Village,MN,Washington County,Minnesota,25,0.048805434,0.000103422,1,926,960,0,92.2310757,92.33067729,927,0,1,87,1067,89,0.33,3199
89,27,37,1900,2393967,0600000US2703701900,2703701900,Apple Valley,Apple Valley city,Apple Valley,MN,Dakota County,Minnesota,25,0.307626153,0.005166253,3488,39294,48911,7,77.80065735,84.70676751,42782,776,4,69,53728,75,17.00,3161
200,27,123,69970,2397299,0600000US2712369970,2712369970,White Bear Lake,White Bear Lake city,White Bear Lake,MN,Ramsey County,Minnesota,25,0.414542495,0.002565514,166,21541,23256,1,86.22263139,86.88708322,21707,37,5,62,25345,90,8.08,3136
308,27,53,10846,2393797,0600000US2705310846,2705310846,Champlin,Champlin city,Champlin,MN,Hennepin County,Minnesota,25,0.267803647,0.002582201,1428,17313,23289,6,69.06414552,74.76065103,18741,318,2,77,24980,86,8.09,3087
127,27,53,7966,2393429,0600000US2705307966,2705307966,Brooklyn Park,Brooklyn Park city,Brooklyn Park,MN,Hennepin County,Minnesota,25,0.453106103,0.00786233,8879,56283,75056,12,73.67366974,85.29615813,65162,1975,7,64,80173,42,26.08,3074
74,27,53,38222,2395764,0600000US2705338222,2705338222,Loretto,Loretto city,Loretto,MN,Hennepin County,Minnesota,25,0.035537783,7.63E-05,0,686,741,0,92.57759784,92.57759784,686,0,1,65,737,100,0.26,2862
1,27,53,41462,2395082,0600000US2705341462,2705341462,Medicine Lake,Medicine Lake city,Medicine Lake,MN,Hennepin County,Minnesota,25,0.046150585,0.000108032,0,425,481,0,40.70881226,40.70881226,425,0,1,69,475,89,0.17,2842
6,27,3,11494,2393526,0600000US2700311494,2700311494,Circle Pines,Circle Pines city,Circle Pines,MN,Anoka County,Minnesota,25,0.109523989,0.000576345,48,3892,5046,1,69.2896564,70.14420509,3940,11,1,71,4951,89,1.75,2824
360,27,3,13114,2393628,0600000US2700313114,2700313114,Coon Rapids,Coon Rapids city,Coon Rapids,MN,Anoka County,Minnesota,25,0.381496477,0.006919376,2455,53639,64878,4,79.84845778,83.5030368,56094,546,5,63,62706,82,22.54,2781
198,27,123,55852,2396435,0600000US2712355852,2712355852,Roseville,Roseville city,Roseville,MN,Ramsey County,Minnesota,25,0.29171717,0.004093552,46,36300,37798,0,91.10073784,91.2161823,36346,10,7,57,36139,75,13.13,2751
352,27,3,22814,2394826,0600000US2700322814,2700322814,Fridley,Fridley city,Fridley,MN,Anoka County,Minnesota,25,0.330040986,0.003222446,127,27558,29198,0,88.02504232,88.4307024,27685,28,6,55,27789,66,10.15,2739
197,27,123,37502,2395733,0600000US2712337502,2712337502,Little Canada,Little Canada city,Little Canada,MN,Ramsey County,Minnesota,25,0.174171967,0.001325996,113,10183,11336,1,78.96859248,79.84490112,10296,25,12,50,10423,68,3.94,2646
165,27,3,1720,2393964,0600000US2700301720,2700301720,Anoka,Anoka city,Anoka,MN,Anoka County,Minnesota,25,0.260743448,0.002127857,391,16166,19194,2,78.35781106,80.2530173,16557,87,10,53,17512,83,6.67,2626
368,27,163,47680,2395287,0600000US2716347680,2716347680,Oakdale,Oakdale city,Oakdale,MN,Washington County,Minnesota,25,0.295117552,0.003345674,1059,24737,31614,3,75.9292796,79.17983977,25796,236,8,63,27925,72,10.99,2542
17,27,53,56680,2396471,0600000US2705356680,2705356680,St. Anthony,St. Anthony city,St. Anthony,MN,Hennepin County,Minnesota,25,0.125931166,0.00069593,8,6280,6439,0,92.76218612,92.88035451,6288,2,8,61,5611,89,2.24,2508
196,27,123,20420,2394738,0600000US2712320420,2712320420,Falcon Heights,Falcon Heights city,Falcon Heights,MN,Ramsey County,Minnesota,25,0.124905788,0.000662053,55,5376,6446,1,83.40055849,84.25380081,5431,12,10,45,5586,74,2.24,2494
44,55,109,58050,1583829,0600000US5510958050,5510958050,North Hudson,North Hudson village,North Hudson,WI,St. Croix County,Wisconsin,47,0.142506898,0.000719323,333,3068,4428,5,43.7660485,48.51640514,3401,74,1,66,3819,98,1.54,2482
201,27,37,8794,2393472,0600000US2703708794,2703708794,Burnsville,Burnsville city,Burnsville,MN,Dakota County,Minnesota,25,0.400396884,0.007941378,945,54996,71809,1,70.84739649,72.06477211,55941,210,6,60,61536,71,24.95,2466
199,27,123,59998,2395876,0600000US2712359998,2712359998,Shoreview,Shoreview city,Shoreview,MN,Ramsey County,Minnesota,25,0.380672268,0.003747226,177,24974,31676,0,68.57974517,69.06579525,25151,39,3,64,26922,85,11.01,2446
160,27,53,51730,2396242,0600000US2705351730,2705351730,Plymouth,Plymouth city,Plymouth,MN,Hennepin County,Minnesota,25,0.472223447,0.010436276,6779,74265,94178,7,73.11490258,86.05406783,81044,1508,3,68,78879,78,32.73,2410
150,27,53,6616,2394198,0600000US2705306616,2705306616,Bloomington,Bloomington city,Bloomington,MN,Hennepin County,Minnesota,25,0.520573919,0.01131841,233,79921,101786,0,72.3162257,72.52705491,80154,52,6,59,85226,71,35.37,2410
340,27,163,62824,2395969,0600000US2716362824,2716362824,Stillwater,Stillwater city,Stillwater,MN,Washington County,Minnesota,25,0.276450939,0.002688252,2178,16658,23303,8,63.73096641,72.0636621,18836,484,4,66,19471,91,8.10,2405
178,27,19,67432,2397159,0600000US2701967432,2701967432,Waconia,Waconia city,Waconia,MN,Carver County,Minnesota,25,0.421336584,0.001539281,3477,7331,14806,23,48.76280431,71.8903818,10808,773,6,73,12281,97,5.14,2387
106,27,163,39428,2395818,0600000US2716339428,2716339428,Mahtomedi,Mahtomedi city,Mahtomedi,MN,Washington County,Minnesota,25,0.31184087,0.001686511,340,7366,10043,2,44.89547145,46.96775766,7706,76,5,72,8232,94,3.49,2359
122,27,123,40382,2395846,0600000US2712340382,2712340382,Maplewood,Maplewood city,Maplewood,MN,Ramsey County,Minnesota,25,0.60548037,0.005330846,513,41254,49962,1,79.48594439,80.47436466,41767,114,8,63,40684,65,17.36,2343
282,27,37,27530,2394320,0600000US2703727530,2703727530,Hastings,Hastings city,Hastings,MN,Dakota County,Minnesota,25,0.354907256,0.00326514,2834,16778,29708,9,52.54125826,61.41608994,19612,630,5,64,22796,94,10.32,2208
156,27,53,40166,2395838,0600000US2705340166,2705340166,Maple Grove,Maple Grove city,Maple Grove,MN,Hennepin County,Minnesota,25,0.453809867,0.010383272,13969,51648,93796,14,51.19695483,65.04396269,65617,3107,2,74,71569,84,32.59,2196
305,27,53,24308,2394924,0600000US2705324308,2705324308,Golden Valley,Golden Valley city,Golden Valley,MN,Hennepin County,Minnesota,25,0.264664678,0.003113512,104,28145,29432,0,92.80509117,93.14801992,28249,23,6,61,21611,86,10.23,2113
270,27,163,4114,2394090,0600000US2716304114,2716304114,Bayport,Bayport city,Bayport,MN,Washington County,Minnesota,25,0.141463332,0.000788945,443,3158,5158,6,40.97042034,46.7176959,3601,99,10,61,3758,74,1.79,2097
202,27,37,17288,2394586,0600000US2703717288,2703717288,Eagan,Eagan city,Eagan,MN,Dakota County,Minnesota,25,0.406629835,0.009858069,2813,69177,91185,3,71.85279821,74.77460634,71990,626,3,62,66377,76,31.69,2095
